,id,first_reviewer_discarded,second_reviewer_discarded
220,1101,TRUE,FALSE
221,194,TRUE,FALSE
222,1271,TRUE,TRUE
223,360,TRUE,TRUE
224,367,TRUE,TRUE
225,1215,TRUE,FALSE
226,1019,TRUE,TRUE
227,46,FALSE,FALSE
228,1210,TRUE,TRUE
229,1389,TRUE,FALSE
230,719,TRUE,FALSE
231,275,TRUE,TRUE
232,247,TRUE,FALSE
233,1412,TRUE,TRUE
234,423,TRUE,FALSE
235,136,FALSE,FALSE
236,647,TRUE,FALSE
237,1238,TRUE,FALSE
238,1182,TRUE,FALSE
239,411,TRUE,TRUE
240,1354,TRUE,FALSE
241,495,TRUE,FALSE
242,154,TRUE,FALSE
243,474,TRUE,TRUE
244,899,TRUE,FALSE
245,1282,TRUE,TRUE
246,1350,TRUE,TRUE
247,675,TRUE,TRUE
248,422,TRUE,TRUE
249,969,TRUE,FALSE
250,264,TRUE,FALSE
251,185,TRUE,FALSE
252,653,TRUE,TRUE
253,1253,TRUE,TRUE
254,1275,TRUE,FALSE
255,270,TRUE,FALSE
256,23,TRUE,TRUE
257,898,TRUE,FALSE
258,625,TRUE,FALSE
259,351,TRUE,FALSE
260,970,TRUE,FALSE
261,887,TRUE,FALSE
262,837,TRUE,FALSE
263,817,TRUE,FALSE
264,433,TRUE,TRUE
265,1226,TRUE,FALSE
266,1187,TRUE,TRUE
267,911,TRUE,TRUE
268,491,TRUE,TRUE
269,734,TRUE,TRUE
270,1123,TRUE,FALSE
271,605,TRUE,FALSE
272,1317,TRUE,FALSE
273,436,TRUE,FALSE
274,1248,TRUE,FALSE
275,180,TRUE,TRUE
276,660,TRUE,TRUE
277,1219,TRUE,TRUE
278,437,TRUE,TRUE
279,626,TRUE,TRUE
280,949,TRUE,TRUE
281,998,TRUE,TRUE
282,197,TRUE,FALSE
283,711,TRUE,FALSE
284,780,TRUE,FALSE
285,482,TRUE,TRUE
286,879,TRUE,FALSE
287,500,TRUE,FALSE
288,1169,TRUE,TRUE
289,505,TRUE,TRUE
290,1171,TRUE,FALSE
291,1138,TRUE,TRUE
292,875,TRUE,FALSE
293,1085,TRUE,TRUE
294,1353,TRUE,FALSE
295,420,TRUE,TRUE
296,1255,TRUE,FALSE
297,188,TRUE,FALSE
298,1438,TRUE,TRUE
299,1407,TRUE,FALSE
300,1322,TRUE,TRUE
301,845,TRUE,TRUE
